book_id,lec,prof,bk,publisher,author,serial,credit,rating,major,difficulty
1065,원가회계,백태영,원가관리회계(6판)(양장본 HardCover),신영사,백태영,BUS2020-01,3,0.0,3,1
1066,원가회계,백태영,원가회계(2판),신영사,백태영,BUS2020-01,3,0.0,3,1
1067,원가회계,백태영,원가회계(3판)(양장본 HardCover),신영사,백태영,BUS2020-01,3,0.0,3,1
1068,원가회계,백태영,원가회계(양장본 HardCover),신영사,백태영,BUS2020-01,3,0.0,3,1
1069,국제비즈니스협상과계약,박명섭,영문 계약서 작성의 키포인트,아카데미프레스,나카무라 히데오,BUS2036-01,3,0.0,3,1
1070,국제비즈니스협상과계약,박명섭,전략적 협상(글로벌시대의),아카데미프레스,"알랭 랑뻬르, 오우레리앙 꼴송, 미셀 뻬까",BUS2036-01,3,0.0,3,1
1071,마케팅인텔리젼스,이은주,Introduction to Neuromarketing ＆ Consumer Neuroscience,Neurons Inc,Dr Thomas Zoega Ramsoy,BUS3037-I1,3,2.32,3,2
1072,Strategic Management,김상균,Strategic Management,Cengage Learning,없음,GBA2008-01,3,3.58,6,1
1073,Strategic Management,김상균,Strategic Management: Concepts: Competitiveness and Globalization,Cengage Learning,Michael A Hitt / R Duane Ireland / Robert E Hoskisson,GBA2008-01,3,3.58,6,1
1074,Intermediate Corporate Finance,김영한,Equity Asset Valuation,Wiley,Jerald E Pinto CFA,GBA2011-01,3,4.19,6,1
1075,Intermediate Corporate Finance,김영한,Studyguide for Investment Valuation: Tools and Techniques for...,Academic Internet Publishers,Aswath Damodaran,GBA2011-01,3,4.19,6,1
1076,Marketing Strategy and Planning,김태완,Marketing Strategy,Palgrave,Robert W Palmatier,GBA3009-01,3,3.22,6,2
1077,Organizations and Organizational Change,현선해,Understanding the Theory and Design of Organizations,South-Western,Richard L Daft,GBA3017-01,3,3.57,6,2
1078,실험계획법,이근백,Design and Analysis of Experiments (Paperback),Wiley,Montgomery,STA3026-01,3,3.85,5,2
1079,실험계획법,이종석,실험설계와 분석(8판),자유아카데미,Douglas C Montgomery,STA3026-01,3,3.85,5,2
1080,한국경제론,정승진,국가의 역할,부키,장하준,ECO3016-01,3,2.15,4,2
1081,한국경제론,정승진,인간의 얼굴을 한 세계화,21세기북스,조지프 E 스티글리츠,ECO3016-01,3,2.15,4,2
1082,한국경제론,정승진,주식회사 한국의 구조조정 무엇이 문제인가,창비,"신장섭, 장하준",ECO3016-01,3,2.15,4,2
1083,외환시장론,조두연,International Financial Management: Pearson New Internationa,Pearson Penguin Longman,Geert Bekaert & Robert Hodrick,ECO3021-01,3,4.29,4,2
1084,정책학원론,권기헌,정의로운 국가란 무엇인가,박영사,권기헌,PAD2001-01,3,2.8,39,1
1085,정책학원론,권기헌,정책학 강의(양장본 HardCover),박영사,권기헌,PAD2001-01,3,2.8,39,1
1086,정책학원론,권기헌,정책학 콘서트(양장본 HardCover),박영사,권기헌,PAD2001-01,3,2.8,39,1
1087,정책학원론,권기헌,정책학의 향연(양장본 HardCover),박영사,권기헌,PAD2001-01,3,2.8,39,1
1088,국제정치론,차태서,국제분쟁의 이해: 이론과 역사(개정판),한울아카데미,조지프 나이,PSD2022-01,3,4.75,41,1
1089,국제정치론,차태서,세계외교사,서울대학교출판문화원,김용구,PSD2022-01,3,4.75,41,1
1090,화폐금융론,이근영,Economics of Money Banking and Financial Markets 9/E,Pearson Education Asia,Mishkin,ECO2008-01,3,3.43,4,1
1091,화폐금융론,이근영,화폐와 금융시장(3판)(양장본 HardCover),율곡출판사,"정운찬, 김홍범",ECO2008-01,3,3.43,4,1
1092,화폐금융론,이근영,화폐와 금융시장(4판),율곡출판사,"정운찬, 김홍범",ECO2008-01,3,3.43,4,1
1093,화폐금융론,이근영,화폐와 금융시장(5판)(양장본 HardCover),율곡출판사,"정운찬, 김홍범",ECO2008-01,3,3.43,4,1
1094,화폐금융론,전용일,Economics of Money Banking and Financial Markets The Business School...,Pearson,Frederic S Mishkin,ECO2008-01,3,3.43,4,1
