0,1,2,3,4,5,6
교양,GEDC010-46,성균논어,김종석,화09:00-09:50【51356】화10:00-10:50【51356】,2,
교양,GEDC010-47,성균논어,김종석,화13:00-13:50【51356】화14:00-14:50【51356】,2,
교양,GEDC010-48,성균논어,김미라,화15:00-15:50【51356】화16:00-16:50【51356】,2,
교양,GEDC010-49,성균논어,왕화영,목15:00-15:50【51205】목16:00-16:50【51205】,2,
교양,GEDC010-50,성균논어,김미라,화11:00-11:50【51356】화12:00-12:50【51356】,2,
교양,GEDC010-51,성균논어,김종석,수13:00-13:50【51356】수14:00-14:50【51356】,2,
교양,GEDC010-52,성균논어,김종석,수09:00-09:50【51356】수10:00-10:50【51356】,2,
교양,GEDC010-53,성균논어,금종현,월11:00-11:50【51205】월12:00-12:50【51205】,2,
교양,GEDR014-41,실천리더십,이덕근,수15:00-15:50【51155】수16:00-16:50【51155】,2,
교양,GEDR014-42,실천리더십,권경자,월13:00-13:50【51155】월14:00-14:50【51155】,2,
교양,GEDG028-01,고급영어쓰기,데이비드로버츠,월15:00-15:50【31408】월16:00-16:50【31408】,2,
교양,GEDG028-02,고급영어쓰기,레이하트만,수15:00-15:50【33214】수16:00-16:50【33214】,2,
교양,GEDG017-01,글로벌시대의문화이해,유철,월15:00-15:50【90209】월16:00-16:50【90209】,2,
교양,GEDG011-01,글로벌화와21세기중국,김순희,수09:00-09:50【50411】수10:00-10:50【50411】,2,
교양,GEDG038-01,뉴스와미디어의이해,아이린박,화15:00-15:50【31506】화16:00-16:50【31506】,2,
교양,GEDG007-01,문예영어,패트리스리디,월13:00-13:50【62603】월14:00-14:50【62603】,2,
교양,GEDG007-02,문예영어,도널린졸슨,화13:00-13:50【31706】화14:00-14:50【31706】,2,
교양,GEDG007-03,문예영어,모건뱁스트,화15:00-15:50【31706】화16:00-16:50【31706】,2,
교양,GEDG007-04,문예영어,조디바론,수15:00-15:50【31706】수16:00-16:50【31706】,2,
교양,GEDG033-01,미국사회와법,김재원,수15:00-15:50【2B212】수16:00-16:50【2B212】,2,
교양,GEDG005-01,비즈니스영어,카트리나니콜,월13:00-13:50【31507】월14:00-14:50【31507】,2,
교양,GEDG005-02,비즈니스영어,다인리듬,화11:00-11:50【31706】화12:00-12:50【31706】,2,
교양,GEDG005-03,비즈니스영어,다니엘클리븐,수09:00-09:50【31506】수10:00-10:50【31506】,2,
교양,GEDG019-01,스페인어문화권의사회와문화,강정원,화09:00-09:50【32210】화10:00-10:50【32210】,2,
교양,GEDG037-01,앙트레프레너십영어,토머스존,목13:00-13:50【31603】목14:00-14:50【31603】,2,
교양,GEDG001-01,영어쓰기,도널린졸슨,월09:00-10:15【31512】수10:30-11:45【31512】,2,
교양,GEDG001-02,영어쓰기,도널린졸슨,월10:30-11:45【31512】수09:00-10:15【31512】,2,
교양,GEDG001-03,영어쓰기,도널린졸슨,월12:00-13:15【31508B】수13:30-14:45【31508B】,2,
교양,GEDG001-04,영어쓰기,도널린졸슨,화09:00-10:15【31512】목10:30-11:45【31512】,2,
교양,GEDG001-05,영어쓰기,도널린졸슨,화10:30-11:45【31508B】목09:00-10:15【31508B】,2,
교양,GEDG001-06,영어쓰기,조디바론,월09:00-10:15【31602】수10:30-11:45【31602】,2,
교양,GEDG001-07,영어쓰기,조디바론,월10:30-11:45【31602】수09:00-10:15【31602】,2,
교양,GEDG001-08,영어쓰기,조디바론,월12:00-13:15【31602】수13:30-14:45【31602】,2,
교양,GEDG001-09,영어쓰기,조디바론,화09:00-10:15【31602】목10:30-11:45【31602】,2,
교양,GEDG001-10,영어쓰기,조디바론,화10:30-11:45【31602】목09:00-10:15【31602】,2,
교양,GEDG001-11,영어쓰기,조디바론,화12:00-13:15【31602】목13:30-14:45【31602】,2,
교양,GEDG001-12,영어쓰기,레이하트만,월09:00-10:15【31301】수10:30-11:45【31301】,2,
교양,GEDG001-13,영어쓰기,레이하트만,월10:30-11:45【31301】수09:00-10:15【31301】,2,
교양,GEDG001-14,영어쓰기,레이하트만,월13:30-14:45【31301】수12:00-13:15【31301】,2,
교양,GEDG001-15,영어쓰기,레이하트만,화09:00-10:15【31301】목10:30-11:45【31301】,2,
교양,GEDG001-16,영어쓰기,레이하트만,화10:30-11:45【31301】목09:00-10:15【31301】,2,
교양,GEDG001-17,영어쓰기,레이하트만,화13:30-14:45【31301】목12:00-13:15【31301】,2,
교양,GEDG001-18,영어쓰기,토머스존,월09:00-10:15【31306B】수10:30-11:45【31306B】,2,
교양,GEDG001-19,영어쓰기,토머스존,월10:30-11:45【31306B】수09:00-10:15【31306B】,2,
교양,GEDG001-20,영어쓰기,토머스존,월13:30-14:45【31306B】수12:00-13:15【31306B】,2,
교양,GEDG001-21,영어쓰기,토머스존,화09:00-10:15【31306B】목10:30-11:45【31306B】,2,
교양,GEDG001-22,영어쓰기,토머스존,화10:30-11:45【31306B】목09:00-10:15【31306B】,2,
교양,GEDG001-23,영어쓰기,패트리스리디,월09:00-10:15【31507】수10:30-11:45【31507】,2,
교양,GEDG001-24,영어쓰기,패트리스리디,월10:30-11:45【31507】수09:00-10:15【31507】,2,
교양,GEDG001-25,영어쓰기,패트리스리디,화09:00-10:15【31508B】목10:30-11:45【31508B】,2,
교양,GEDG001-26,영어쓰기,패트리스리디,화10:30-11:45【31601】목09:00-10:15【31601】,2,
교양,GEDG001-27,영어쓰기,패트리스리디,화12:00-13:15【31511】목13:30-14:45【31511】,2,
교양,GEDG001-28,영어쓰기,브리짓맥그레거,월09:00-10:15【31408】수10:30-11:45【31408】,2,
교양,GEDG001-29,영어쓰기,브리짓맥그레거,월10:30-11:45【31408】수09:00-10:15【31408】,2,
교양,GEDG001-30,영어쓰기,브리짓맥그레거,화09:00-10:15【31408】목10:30-11:45【31408】,2,
